rank,search_url,url,title,source_listing_id,listing_type,is_camry_keyword,is_toyota_keyword,is_toyota_camry_title
34,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/gilroy-2014-audi-allroad-awd-104k/7917477411.html,2014 AUDI ALLROAD AWD W/ 104K,7917477411,cto,False,False,False
35,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2017-bentley-continental-gt/7912293467.html,2017 Bentley Continental GT Supersports,7912293467,ctd,False,False,False
35,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/gilroy-2017-chevy-cruze-lt-shiny-89k-mi/7917477239.html,2017 CHEVY CRUZE LT SHINY W 89K MI,7917477239,cto,False,False,False
36,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2016-bmw-x4-4-4-m40i-40-m-40/7917471698.html,2016 BMW X4 X 4 X-4 M40i M 40 i M-40-i M40i M 40 i M-40-i,7917471698,ctd,False,False,False
36,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2017-toyota-camry-le/7912324647.html,2017 Toyota Camry LE,7912324647,ctd,True,True,True
37,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2016-chevrolet-corvette-2lt-lt-lt/7912374780.html,2016 Chevrolet Corvette 2LT 2 LT 2-LT,7912374780,ctd,False,False,False
37,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2017-audi-a3-3-3-sportback-etron/7917462515.html,2017 Audi A3 A 3 A-3 Sportback etron A3 Sportback e tron A3 Sportback,7917462515,ctd,False,False,False
38,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/daly-city-2025-toyota-camry-se/7917449137.html,2025 Toyota Camry SE,7917449137,ctd,True,True,True
38,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2019-toyota-mirai-loadedlow/7912430828.html,2019 TOYOTA MIRAI LOADED\*LOW MILES\*FAC WARRANTY\*MUST SEE,7912430828,ctd,False,True,False
39,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2017-bmw-x4-4-4-m40i-40-m-40/7912457421.html,2017 BMW X4 X 4 X-4 M40i M 40 i M-40-i M40i M 40 i M-40-i MSPORT M40i,7912457421,ctd,False,False,False
39,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2020-toyota-camry-hybrid/7917421283.html,2020 Toyota Camry Hybrid XLESedan,7917421283,ctd,True,True,True
40,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2017-ford-mustang-v6-6-6/7912545287.html,2017 Ford Mustang V6 V 6 V-6,7912545287,ctd,False,False,False
40,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2023-ford-transit-250/7917419861.html,2023 Ford Transit 250\* MEDUIM ROOF\*\*LOW MILES\*FAC WARRANTY\*LONG BED,7917419861,ctd,False,False,False
41,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2009-toyota-camry-le-4dr-sedan-5a/7912672560.html,2009 Toyota Camry LE 4dr Sedan 5A,7912672560,ctd,True,True,True
41,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2023-fisker-ocean-one/7917415922.html,2023 Fisker Ocean ONE AWD\*ONLY 4K MILES\*FAC WARRANTY\*,7917415922,ctd,False,False,False
42,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2020-toyota-camry-se-4dr-sedan/7912685137.html,2020 Toyota Camry SE 4dr Sedan Sedan,7912685137,ctd,True,True,True
42,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2015-mbz-e350-benz-350/7917407706.html,2015 MBZ E350 BENZ E 350 LOADED\*AMG SPORT LOW MILES CLEAN TITEL\*DOWN++,7917407706,ctd,False,False,False
43,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2014-ford-super-duty-f550-550/7917396041.html,2014 Ford Super Duty F550 F 550 F-550 DRW Chassis Cab Super Duty F 550,7917396041,ctd,False,False,False
43,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2014-toyota-camry-se-24l-sport/7912709526.html,"2014 Toyota Camry SE 2.4L Sport, Clean Title/ Runs Great / Navi/ Camer",7912709526,ctd,True,True,True
44,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2013-chevy-silverado-1500-lt/7912709695.html,2013 Chevy Silverado 1500 LT Crew Z71 4x4 - Excellent Condition,7912709695,ctd,False,False,False
44,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/gilroy-2012-ford-fusion-clean-99k-mi/7917395151.html,2012 FORD FUSION CLEAN W 99K MI,7917395151,cto,False,False,False
45,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2012-acura-tl-35l-premium/7912712425.html,"2012 Acura TL 3.5L Premium - Leather, Sunroof, Camera, Runs Excellent",7912712425,ctd,False,False,False
45,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2018-lexus-is-300-base-4dr/7917390635.html,2018 Lexus IS 300 Base 4dr Sedan Sedan,7917390635,ctd,False,False,False
46,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2015-ford-super-duty-f350-350/7912769050.html,2015 Ford Super Duty F350 F 350 F-350 DRW Chassis Cab Super Duty F 350,7912769050,ctd,False,False,False
46,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2021-dodge-challenger-sxt/7917387987.html,2021 Dodge Challenger SXT,7917387987,ctd,False,False,False
47,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2018-bmw-530e-530-530/7917379789.html,2018 BMW 530e 530 e 530-e iPerformance MSPORT M SPORT M-SPORT,7917379789,ctd,False,False,False
47,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2019-ford-mustang-gt/7912780602.html,2019 Ford Mustang GT,7912780602,ctd,False,False,False
